condition,text_axis,priors_axis,model,mse
C1_original,kept,kept,aurora,8.552879142212785
C1_original,kept,kept,mmtsflib,13.794802962629884
C1_original,kept,kept,tats,13.307416224392291
C2_empty,empty,zeroed,aurora,8.554897212319904
C2_empty,empty,zeroed,mmtsflib,14.135086920238848
C2_empty,empty,zeroed,tats,17.440207722119666
C3_shuffled,shuffled,kept,aurora,8.553203240778574
C3_shuffled,shuffled,kept,mmtsflib,13.798553131572488
C3_shuffled,shuffled,kept,tats,13.307776583263788
C4_crossdomain,crossdomain,kept,aurora,8.552372352202871
C4_crossdomain,crossdomain,kept,mmtsflib,13.794288798758506
C4_crossdomain,crossdomain,kept,tats,13.30776114312265
C5_constant,constant,zeroed,aurora,8.55548635314874
C5_constant,constant,zeroed,mmtsflib,14.13747036262174
C5_constant,constant,zeroed,tats,17.439836628165924
C6_unimodal,cli_off,na,aurora,8.552879142212785
C6_unimodal,cli_off,na,mmtsflib,14.037970066665569
C6_unimodal,cli_off,na,tats,14.004262132647758
C8_oracle,oracle,kept,aurora,8.554927944930064
C8_oracle,oracle,kept,mmtsflib,13.802744044761322
C8_oracle,oracle,kept,tats,13.307538231317368
C9_zero_priors,kept,zeroed,aurora,8.552879142212785
C9_zero_priors,kept,zeroed,mmtsflib,14.13188871226768
C9_zero_priors,kept,zeroed,tats,17.440265241337734
